Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Pembelian/Beli_Positif/Page_Katalog  IDPhotobook/div_Pesan Sekarang""))",Chrome 83.0.4103.116,,,2020-07-09 16:24:52,2020-07-09 16:24:53,0.293s,PASSED
delay(2),Chrome 83.0.4103.116,,,2020-07-09 16:24:53,2020-07-09 16:24:55,2.001s,PASSED
"click(findTestObject(""Object Repository/Pembelian/Beli_Positif/Page_Katalog  IDPhotobook/button_Bayar Sekarang""))",Chrome 83.0.4103.116,,,2020-07-09 16:24:55,2020-07-09 16:24:55,0.294s,PASSED
delay(2),Chrome 83.0.4103.116,,,2020-07-09 16:24:55,2020-07-09 16:24:57,2.001s,PASSED
"callTestCase(findTestCase(""Services/SVC_Get Capture""), null, STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-09 16:24:57,2020-07-09 16:24:59,1.611s,PASSED
refresh(),Chrome 83.0.4103.116,,,2020-07-09 16:24:59,2020-07-09 16:25:00,1.138s,PASSED
"click(findTestObject(""Pembelian/Beli_Negatif/Page_Checkout  IDPhotobook/mat-icon_close_CheckOut""))",Chrome 83.0.4103.116,,,2020-07-09 16:25:00,2020-07-09 16:25:01,1.492s,PASSED
"callTestCase(findTestCase(""Services/SVC_Get Capture""), null, STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-09 16:25:01,2020-07-09 16:25:03,1.604s,PASSED
"click(findTestObject(""Pembelian/Beli_Negatif/Page_Tas Belanja  IDPhotobook/delete_items_keranjang""))",Chrome 83.0.4103.116,,,2020-07-09 16:25:03,2020-07-09 16:25:03,0.303s,PASSED
"click(findTestObject(""Pembelian/Beli_Negatif/Page_Tas Belanja  IDPhotobook/button_Ya0""))",Chrome 83.0.4103.116,,,2020-07-09 16:25:03,2020-07-09 16:25:04,0.511s,PASSED
delay(2),Chrome 83.0.4103.116,,,2020-07-09 16:25:04,2020-07-09 16:25:06,2.002s,PASSED
refresh(),Chrome 83.0.4103.116,,,2020-07-09 16:25:06,2020-07-09 16:25:06,0.606s,PASSED
"callTestCase(findTestCase(""Services/SVC_Get Capture""), null, STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-09 16:25:06,2020-07-09 16:25:08,1.603s,PASSED
"verifyElementPresent(findTestObject(""Pembelian/Beli_Negatif/Page_Tas Belanja  IDPhotobook/delete_items_keranjang""), 5, CONTINUE_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-09 16:25:08,2020-07-09 16:25:08,0.258s,PASSED
"click(findTestObject(""Pembelian/Beli_Negatif/Page_Tas Belanja  IDPhotobook/delete_items_keranjang""), CONTINUE_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-09 16:25:08,2020-07-09 16:25:08,0.289s,PASSED
"click(findTestObject(""Pembelian/Beli_Negatif/Page_Tas Belanja  IDPhotobook/button_Ya0""), CONTINUE_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-09 16:25:08,2020-07-09 16:25:09,0.498s,PASSED
